Longitude,Latitude,date
-72.04,42.56,2008-07-04
-71.71,42.67,2008-06-12
-71.71,42.67,2008-06-19
-71.58,43.97,2008-06-23
-71.39,43.41,2008-07-22
-71.39,43.41,2008-08-09
-72.73,42.60,2008-06-22
-72.56,41.32,2009-07-13
-73.77,41.02,2008-06-23
-71.75,42.18,2008-07-13
-70.43,41.72,2008-07-25
-72.64,42.29,2008-06-23
-72.64,42.29,2009-06-21
-71.99,43.41,2008-06-24
-71.99,43.41,2008-07-10
-71.99,43.41,2008-07-28
-71.99,43.41,2008-09-11
-71.99,43.41,2009-05-26
-71.99,43.41,2009-06-05
-71.99,43.41,2009-06-12
-71.99,43.41,2009-06-18
-71.99,43.41,2009-06-25
-71.99,43.41,2009-07-14
-71.99,43.41,2010-05-01
-70.96,42.16,2008-07-05
-72.21,42.04,2008-07-20
-70.62,41.64,2008-07-19
-70.62,41.64,2008-08-18
-72.30,41.95,2009-05-21
-72.30,41.95,2009-07-17
-72.30,41.95,2009-07-20
-72.30,41.95,2009-07-24
-72.30,41.95,2009-07-26
-72.30,41.95,2010-06-27
-72.30,41.95,2011-07-19
-72.30,41.95,2011-07-20
-72.30,41.95,2011-07-21
-72.30,41.95,2011-07-22
-72.30,41.95,2012-07-06
-72.30,41.95,2013-06-28
-73.19,42.73,2008-06-27
-70.88,42.66,2008-06-26
-70.87,42.09,2008-06-28
-70.87,42.09,2008-07-20
-72.08,42.51,2008-06-14
-72.08,42.51,2009-05-23
-71.08,42.45,2008-06-21
-71.08,42.45,2008-07-13
-71.08,42.45,2008-07-25
-70.44,41.65,2008-06-20
-70.44,41.65,2008-07-20
-70.44,41.65,2008-07-22
-88.06,41.78,2008-07-15
-70.61,41.87,2008-07-01
-70.61,41.87,2008-07-02
-70.61,41.87,2008-07-06
-76.81,39.46,2008-07-25
-76.81,39.46,2008-08-08
-76.81,39.46,2008-08-21
-76.81,39.46,2008-08-29
-76.81,39.46,2010-07-13
-76.81,39.46,2010-07-15
-76.81,39.46,2010-07-21
-76.81,39.46,2010-07-24
-76.81,39.46,2012-06-16
-76.81,39.46,2015-06-20
-70.85,42.68,2008-06-30
-71.19,42.81,2008-07-01
-71.19,42.81,2008-07-17
-71.19,42.81,2008-07-24
-71.19,42.81,2008-08-03
-71.19,42.81,2008-08-08
-71.36,42.60,2008-07-10
-70.96,42.22,2008-07-24
-71.77,42.25,2008-07-03
-71.77,42.25,2008-07-11
-71.77,42.25,2008-07-15
-71.32,41.99,2008-06-30
-72.76,42.80,2008-07-15
-71.68,42.12,2008-07-04
-71.68,42.12,2008-07-25
-71.68,42.12,2008-08-01
-71.68,42.12,2008-09-12
-81.22,34.97,2008-07-01
-81.22,34.97,2016-05-21
-71.05,42.71,2008-07-01
-83.49,42.43,2008-07-01
-88.18,41.98,2008-07-01
-88.18,41.98,2008-07-08
-88.18,41.98,2008-08-12
-88.18,41.98,2009-07-28
-71.50,42.77,2008-07-01
-83.63,32.57,2008-07-25
-83.63,32.57,2008-08-09
-83.63,32.57,2008-08-17
-83.63,32.57,2008-08-22
-83.63,32.57,2008-09-12
-83.76,42.27,2008-07-01
-83.76,42.27,2008-07-07
-83.76,42.27,2008-07-08
-83.76,42.27,2008-07-13
-83.76,42.27,2008-07-28
-83.76,42.27,2008-08-04
-83.76,42.27,2008-08-17
-83.76,42.27,2008-09-25
-83.76,42.27,2009-06-17
-83.76,42.27,2009-06-19
-83.76,42.27,2009-07-11
-83.76,42.27,2009-07-20
-83.76,42.27,2009-07-24
-93.04,30.97,2008-07-18
-93.04,30.97,2008-07-26
-93.04,30.97,2008-08-21
-93.04,30.97,2008-08-31
-93.04,30.97,2008-09-27
-93.04,30.97,2008-10-10
-93.04,30.97,2010-03-26
-93.04,30.97,2010-04-10
-93.04,30.97,2010-04-15
-93.04,30.97,2010-04-24
-93.04,30.97,2010-05-15
-93.04,30.97,2010-05-20
-93.04,30.97,2010-05-29
-93.04,30.97,2010-06-05
-93.04,30.97,2010-06-12
-93.04,30.97,2010-06-19
-93.04,30.97,2010-06-26
-93.04,30.97,2010-07-03
-93.04,30.97,2010-07-17
-93.04,30.97,2010-07-24
-93.04,30.97,2010-07-31
-93.04,30.97,2010-08-06
-93.04,30.97,2010-08-14
-93.04,30.97,2010-08-22
-93.04,30.97,2010-08-29
-93.04,30.97,2010-09-05
-93.04,30.97,2010-09-12
-93.04,30.97,2010-09-17
-93.04,30.97,2010-09-24
-93.04,30.97,2011-03-20
